Changed database context to 'adventureworks'.
SellStartDate           ConvertedDate                  ISO8601FormatDate             
----------------------- ------------------------------ ------------------------------
2002-06-01 00:00:00.000 Jun  1 2002 12:00AM            2002-06-01T00:00:00           
2002-06-01 00:00:00.000 Jun  1 2002 12:00AM            2002-06-01T00:00:00           
2005-07-01 00:00:00.000 Jul  1 2005 12:00AM            2005-07-01T00:00:00           
2005-07-01 00:00:00.000 Jul  1 2005 12:00AM            2005-07-01T00:00:00           
2005-07-01 00:00:00.000 Jul  1 2005 12:00AM            2005-07-01T00:00:00           
2005-07-01 00:00:00.000 Jul  1 2005 12:00AM            2005-07-01T00:00:00           
2005-07-01 00:00:00.000 Jul  1 2005 12:00AM            2005-07-01T00:00:00           
2005-07-01 00:00:00.000 Jul  1 2005 12:00AM            2005-07-01T00:00:00           
2005-07-01 00:00:00.000 Jul  1 2005 12:00AM            2005-07-01T00:00:00           
2005-07-01 00:00:00.000 Jul  1 2005 12:00AM            2005-07-01T00:00:00           
2005-07-01 00:00:00.000 Jul  1 2005 12:00AM            2005-07-01T00:00:00           
2005-07-01 00:00:00.000 Jul  1 2005 12:00AM            2005-07-01T00:00:00           
2005-07-01 00:00:00.000 Jul  1 2005 12:00AM            2005-07-01T00:00:00           
2005-07-01 00:00:00.000 Jul  1 2005 12:00AM            2005-07-01T00:00:00           
2005-07-01 00:00:00.000 Jul  1 2005 12:00AM            2005-07-01T00:00:00           
2005-07-01 00:00:00.000 Jul  1 2005 12:00AM            2005-07-01T00:00:00           
2005-07-01 00:00:00.000 Jul  1 2005 12:00AM            2005-07-01T00:00:00           
2005-07-01 00:00:00.000 Jul  1 2005 12:00AM            2005-07-01T00:00:00           
2005-07-01 00:00:00.000 Jul  1 2005 12:00AM            2005-07-01T00:00:00           
2005-07-01 00:00:00.000 Jul  1 2005 12:00AM            2005-07-01T00:00:00           
2005-07-01 00:00:00.000 Jul  1 2005 12:00AM            2005-07-01T00:00:00           
2005-07-01 00:00:00.000 Jul  1 2005 12:00AM            2005-07-01T00:00:00           
2005-07-01 00:00:00.000 Jul  1 2005 12:00AM            2005-07-01T00:00:00           
2005-07-01 00:00:00.000 Jul  1 2005 12:00AM            2005-07-01T00:00:00           
2005-07-01 00:00:00.000 Jul  1 2005 12:00AM            2005-07-01T00:00:00           
2005-07-01 00:00:00.000 Jul  1 2005 12:00AM            2005-07-01T00:00:00           
2005-07-01 00:00:00.000 Jul  1 2005 12:00AM            2005-07-01T00:00:00           
2005-07-01 00:00:00.000 Jul  1 2005 12:00AM            2005-07-01T00:00:00           
2005-07-01 00:00:00.000 Jul  1 2005 12:00AM            2005-07-01T00:00:00           
