Changed database context to 'adventureworks'.
Name                                               NumericSize
-------------------------------------------------- -----------
HL Road Frame - Black, 58                                   58
HL Road Frame - Red, 58                                     58
Sport-100 Helmet, Red                                        0
Sport-100 Helmet, Black                                      0
Mountain Bike Socks, M                                       0
Mountain Bike Socks, L                                       0
Sport-100 Helmet, Blue                                       0
AWC Logo Cap                                                 0
Long-Sleeve Logo Jersey, S                                   0
Long-Sleeve Logo Jersey, M                                   0
Long-Sleeve Logo Jersey, L                                   0
Long-Sleeve Logo Jersey, XL                                  0
HL Road Frame - Red, 62                                     62
HL Road Frame - Red, 44                                     44
HL Road Frame - Red, 48                                     48
HL Road Frame - Red, 52                                     52
HL Road Frame - Red, 56                                     56
LL Road Frame - Black, 58                                   58
LL Road Frame - Black, 60                                   60
LL Road Frame - Black, 62                                   62
LL Road Frame - Red, 44                                     44
LL Road Frame - Red, 48                                     48
LL Road Frame - Red, 52                                     52
LL Road Frame - Red, 58                                     58
LL Road Frame - Red, 60                                     60
LL Road Frame - Red, 62                                     62
ML Road Frame - Red, 44                                     44
ML Road Frame - Red, 48                                     48
ML Road Frame - Red, 52                                     52
ML Road Frame - Red, 58                                     58
ML Road Frame - Red, 60                                     60
LL Road Frame - Black, 44                                   44
LL Road Frame - Black, 48                                   48
LL Road Frame - Black, 52                                   52
HL Mountain Frame - Silver, 42                              42
HL Mountain Frame - Silver, 44                              44
HL Mountain Frame - Silver, 48                              48
HL Mountain Frame - Silver, 46                              46
HL Mountain Frame - Black, 42                               42
HL Mountain Frame - Black, 44                               44
HL Mountain Frame - Black, 48                               48
HL Mountain Frame - Black, 46                               46
HL Mountain Frame - Black, 38                               38
HL Mountain Frame - Silver, 38                              38
Road-150 Red, 62                                            62
Road-150 Red, 44                                            44
Road-150 Red, 48                                            48
Road-150 Red, 52                                            52
Road-150 Red, 56                                            56
Road-450 Red, 58                                            58
Road-450 Red, 60                                            60
Road-450 Red, 44                                            44
Road-450 Red, 48                                            48
Road-450 Red, 52                                            52
Road-650 Red, 58                                            58
Road-650 Red, 60                                            60
Road-650 Red, 62                                            62
Road-650 Red, 44                                            44
Road-650 Red, 48                                            48
Road-650 Red, 52                                            52
Road-650 Black, 58                                          58
Road-650 Black, 60                                          60
Road-650 Black, 62                                          62
Road-650 Black, 44                                          44
Road-650 Black, 48                                          48
Road-650 Black, 52                                          52
Mountain-100 Silver, 38                                     38
Mountain-100 Silver, 42                                     42
Mountain-100 Silver, 44                                     44
Mountain-100 Silver, 48                                     48
Mountain-100 Black, 38                                      38
Mountain-100 Black, 42                                      42
Mountain-100 Black, 44                                      44
Mountain-100 Black, 48                                      48
Mountain-200 Silver, 38                                     38
Mountain-200 Silver, 42                                     42
Mountain-200 Silver, 46                                     46
Mountain-200 Black, 38                                      38
Mountain-200 Black, 42                                      42
Mountain-200 Black, 46                                      46
Mountain-300 Black, 38                                      38
Mountain-300 Black, 40                                      40
Mountain-300 Black, 44                                      44
Mountain-300 Black, 48                                      48
Road-250 Red, 44                                            44
Road-250 Red, 48                                            48
Road-250 Red, 52                                            52
Road-250 Red, 58                                            58
Road-250 Black, 44                                          44
Road-250 Black, 48                                          48
Road-250 Black, 52                                          52
Road-250 Black, 58                                          58
Road-550-W Yellow, 38                                       38
Road-550-W Yellow, 40                                       40
Road-550-W Yellow, 42                                       42
Road-550-W Yellow, 44                                       44
Road-550-W Yellow, 48                                       48
LL Fork                                                      0
ML Fork                                                      0
HL Fork                                                      0
LL Headset                                                   0
ML Headset                                                   0
HL Headset                                                   0
LL Mountain Handlebars                                       0
ML Mountain Handlebars                                       0
HL Mountain Handlebars                                       0
LL Road Handlebars                                           0
ML Road Handlebars                                           0
HL Road Handlebars                                           0
ML Mountain Frame - Black, 38                               38
LL Mountain Front Wheel                                      0
ML Mountain Front Wheel                                      0
HL Mountain Front Wheel                                      0
LL Road Front Wheel                                          0
ML Road Front Wheel                                          0
HL Road Front Wheel                                          0
Touring Front Wheel                                          0
ML Road Frame-W - Yellow, 38                                38
LL Mountain Rear Wheel                                       0
ML Mountain Rear Wheel                                       0
HL Mountain Rear Wheel                                       0
LL Road Rear Wheel                                           0
ML Road Rear Wheel                                           0
HL Road Rear Wheel                                           0
Touring Rear Wheel                                           0
ML Mountain Frame - Black, 40                               40
ML Mountain Frame - Black, 44                               44
ML Mountain Frame - Black, 48                               48
ML Road Frame-W - Yellow, 40                                40
ML Road Frame-W - Yellow, 42                                42
ML Road Frame-W - Yellow, 44                                44
ML Road Frame-W - Yellow, 48                                48
HL Road Frame - Black, 62                                   62
HL Road Frame - Black, 44                                   44
HL Road Frame - Black, 48                                   48
HL Road Frame - Black, 52                                   52
Men's Sports Shorts, S                                       0
Touring-Panniers, Large                                      0
Cable Lock                                                   0
Minipump                                                     0
Mountain Pump                                                0
Taillights - Battery-Powered                                 0
Headlights - Dual-Beam                                       0
Headlights - Weatherproof                                    0
Men's Sports Shorts, M                                       0
Men's Sports Shorts, L                                       0
Men's Sports Shorts, XL                                      0
Women's Tights, S                                            0
